agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10743,2026,150000,0,appropriation,10,19.0,2026-27,"volunteers (10743) ............................. 150,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10743|2026|150000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10755,2026,750000,0,appropriation,10,23.0,2026-27,"to ten counties (10755) ........................ 750,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10755|2026|750000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10894,2026,24069000,0,appropriation,10,35.0,2026-27,"Title III-b social services (10894) ........... 24,069,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10894|2026|24069000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10893,2026,102610000,0,appropriation,10,39.0,2026-27,"nutrition program activities (10893) ....... 102,610,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10893|2026|102610000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10892,2026,14000000,0,appropriation,10,40.0,2026-27,"Title III-e caregivers (10892) ................ 14,000,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10892|2026|14000000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10891,2026,9965000,0,appropriation,10,41.0,2026-27,"Health and human services programs (10891) ..... 9,965,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10891|2026|9965000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Federal,FHHS Aid to Localities Account - 25177,10883,2026,600000,0,appropriation,10,53.0,2026-27,"(10883) ........................................ 600,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10883|2026|600000|FHHS AID TO LOCALITIES ACCOUNT - 25177
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Other,Aging Grants and Bequest Account - 20196,10887,2026,9000000,0,appropriation,11,2.0,2026-27,"federal older Americans act (10887) .......... 9,000,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10887|2026|9000000|AGING GRANTS AND BEQUEST ACCOUNT - 20196
OFFICE FOR THE AGING,AID TO LOCALITIES,Special Revenue Funds - Other,Aging Grants and Bequest Account - 20196,81034,2026,980000,0,appropriation,11,12.0,2026-27,"office for the aging (81034) ................... 980,000",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|81034|2026|980000|AGING GRANTS AND BEQUEST ACCOUNT - 20196
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10318,2025,41663244,41552000,reappropriation,12,6.0,2026-27,"38 41,663,244 ....................................... (re. $41,552,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10318|2025|41663244|LOCAL ASSISTANCE ACCOUNT - 10000
