approp_id,chapter_year,program,fund,approp_amount,reapprop_amount,enacted_page
21832,2021,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,35526920.0,2522000,273
21834,2021,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,15811180.0,890000,273
21835,2021,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,11981890.0,567000,273
23344,2021,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,2000000.0,138000,274
55913,2021,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,6000000.0,767000,273
,2021,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,100000.0,100000,274
21785,2020,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,368000.0,256000,275
21830,2020,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,18361860.0,858000,274
21831,2020,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,35129000.0,1757000,274
21832,2020,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,35526920.0,476000,274
21834,2020,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,15811180.0,550000,274
21835,2020,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,11981890.0,654000,274
21837,2020,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,450000.0,450000,274
55913,2020,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,6000000.0,445000,274
21785,2019,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,368000.0,178000,275
21830,2019,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,15301860.0,2248000,275
21832,2019,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,29605920.0,2360000,276
