agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23346,2023,2000000,2000000,"305 12653-10-4
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2024-25
1 ution must be approved by a majority vote of all members elected to
2 the senate upon a roll call vote (23346) ...........................
3 2,000,000 ......................................... (re. $2,000,000)",17,1,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23346|2023|2000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,56043,2023,12000000,12000000,"4 For services and expenses of the Yonkers City School District (56043)
5 ... 12,000,000 ................................... (re. $12,000,000)",17,4,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|56043|2023|12000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,55949,2023,225000,225000,"6 For services and expenses of the East Ramapo Central School District
7 (55949) ... 225,000 ................................. (re. $225,000)",17,6,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55949|2023|225000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,55907,2023,185000000,65219000,"17 For reimbursement of supplemental basic tuition payments to charter
18 schools made by school districts in the 2022-23 school year, as
19 defined by paragraph (a) of subdivision 1 of section 2856 of the
20 education law (55907) ... 185,000,000 ............ (re. $65,219,000)",18,17,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55907|2023|185000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,55971,2023,100000000,3529000,"21 For charter schools facilities aid for the 2022-23 school year and
22 prior school years pursuant to subdivision 6-g of section 3602 of
23 the education law (55971) ... 100,000,000 ......... (re. $3,529,000)",18,21,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55971|2023|100000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23445,2023,14974000,9812000,"24 Funds appropriated herein shall be available for services and expenses
25 of a $21,392,000 teacher resources and computer training center
26 program for the 2023-24 school year (23445) ........................
27 14,974,000 ........................................ (re. $9,812,000)",23,24,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23445|2023|14974000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21764,2023,89000,89000,"28 For education of children of migrant workers for the 2023-24 school
29 year (21764) ... 89,000 .............................. (re. $89,000)",23,28,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21764|2023|89000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23384,2023,1900000,1900000,"45 For additional aid payable in the 2023-24 school year for additional
46 nonpublic school aid to reimburse 2022-23 school year expenses
47 (23384) ... 1,900,000 ............................. (re. $1,900,000)",24,45,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23384|2023|1900000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21705,2023,93700000,61281000,"3 For costs associated with schools for the blind and deaf and other
4 students with disabilities subject to article 85 of the education
5 law, including state aid for blind and deaf pupils in certain insti-
6 tutions to be paid for the purposes provided under section 4204-a of
7 the education law for the education of deaf children under 3 years
8 of age, including transfers to the miscellaneous special revenue
9 fund Rome school for the deaf account pursuant to a plan to be
10 developed by the commissioner and approved by the director of the
11 budget.
12 Of the amounts appropriated herein, up to $84,700,000 shall be avail-
13 able for reimbursement to school districts for the tuition costs of
14 students attending schools for the blind and deaf during the 2022-23
15 school year pursuant to subdivision 2 of section 4204 of the educa-
16 tion law and subdivision 2 of section 4207 of the education law, and
17 up to $9,000,000 shall be available for remaining allowable
18 purposes.
19 Provided further that, notwithstanding any inconsistent provision of
20 law, upon disbursement of funds appropriated for allowances to
21 schools for the blind and deaf in the individuals with disabilities
22 program special revenue funds-federal/aid to localities for purposes
23 of this appropriation, funds appropriated herein shall be reduced in
24 an amount equivalent to such disbursement and the portion of this
25 appropriation so affected shall have no further force or effect.
26 Notwithstanding any provision of the law to the contrary, funds appro-
27 priated herein shall be available for payment of liabilities hereto-
28 fore accrued or hereafter to accrue and, subject to the approval of
29 the director of the budget, such funds shall be available to the
30 department net of disallowances, refunds, reimbursements and credits
31 (21705) ... 93,700,000 ........................... (re. $61,281,000)",25,3,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21705|2023|93700000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21707,2023,367500000,251200000,"314 12653-10-4
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2024-25
1 be used to pay 2022-23 school year claims in the first instance, and
2 represent the maximum amount payable during the 2023-24 state fiscal
3 year.
4 Notwithstanding any provision of law to the contrary, funds appropri-
5 ated herein shall be available for payment of liabilities heretofore
6 accrued or hereafter to accrue and, subject to the approval of the
7 director of the budget, such funds shall be available to the depart-
8 ment net of disallowances, refunds, reimbursements and credits
9 (21707) ... 367,500,000 ......................... (re. $251,200,000)",26,1,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21707|2023|367500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21706,2023,1035000000,158990000,"10 For the state's share of the costs of the education of preschool chil-
11 dren with disabilities pursuant to section 4410 of the education
12 law. Notwithstanding any inconsistent provision of law to the
13 contrary, the amount appropriated herein shall support a state share
14 of preschool handicapped education costs for the 2022-23 school year
15 limited to 59.5 percent of such total approved expenditures, and
16 furthermore, notwithstanding any other provision of law, local
17 claims for reimbursement of costs incurred prior to the 2021-22
18 school year and during the 2021-22 school year that have been
19 approved for payment by the education department as of March 31,
20 2023 shall be the first claims paid from this appropriation.
21 Notwithstanding any provision of law to the contrary, funds appropri-
22 ated herein shall be available for payment of liabilities heretofore
23 accrued or hereafter to accrue and, subject to the approval of the
24 director of the budget, such funds shall be available to the depart-
25 ment net of disallowances, refunds, reimbursements and credits
26 (21706) ... 1,035,000,000 ....................... (re. $158,990,000)",26,10,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21706|2023|1035000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,55938,2023,17180000,17180000,"27 Notwithstanding any inconsistent provision of law, funding made avail-
28 able by this appropriation shall support direct salary costs and
29 related fringe benefits associated with any minimum wage increase
30 that takes effect on or after December 31, 2016, pursuant to section
31 652 of the labor law. Organizations eligible for funding made avail-
32 able by this appropriation shall be limited to special act school
33 districts and those that are required to file a consolidated fiscal
34 report with the state education department and provide preschool and
35 school-age special education services under articles 81, 85 and 89
36 of the education law. Each eligible organization in receipt of fund-
37 ing made available by this appropriation shall submit written
38 certification, in such form and at such time as the commissioner
39 shall prescribe, attesting to how such funding will be or was used
40 for purposes eligible under this appropriation. Notwithstanding any
41 inconsistent provision of law, and subject to the approval of the
42 director of the budget, the amounts appropriated herein may be
43 increased or decreased by interchange or transfer to any local
44 assistance appropriation of the state education department (55938)
45 ... 17,180,000 ................................... (re. $17,180,000)",26,27,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55938|2023|17180000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21778,2023,894000,894000,"36 For services and expenses of the primary mental health project at the
37 children's institute for the 2023-24 school year (21778) ...........
38 894,000 ............................................. (re. $894,000)",27,36,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21778|2023|894000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21800,2023,350000,263000,"47 Funds appropriated herein shall be available for educational services
48 and expenses of the Syracuse city school district for the say yes to
49 education program (21800) ... 350,000 ............... (re. $263,000)",27,47,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21800|2023|350000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21792,2023,500000,500000,"316 12653-10-4
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2024-25
1 For additional services and expenses of the center for autism and
2 related disabilities at the state university of New York at Albany
3 (21792) ... 500,000 ................................. (re. $500,000)",28,1,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21792|2023|500000
