agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21784,2023,3049000,785000,"10 For services and expenses of the summer food program for the 2023-24
11 school year (21784) ... 3,049,000 ................... (re. $785,000)",28,10,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21784|2023|3049000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21801,2023,11500000,7910000,"12 Work Force Education. For partial reimbursement of services and
13 expenses per contract hour of work force education conducted by the
14 consortium for worker education (CWE), a private not-for-profit
15 corporation program approved by the commissioner of education that
16 enable adults who are 21 years of age or older to obtain or retain
17 employment or improve their work skills capacity to enhance their
18 opportunities for increased earnings and advancement (21801) .......
19 11,500,000 ........................................ (re. $7,910,000)",28,12,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21801|2023|11500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21733,2023,974500,974000,"22 For services and expenses of the Executive Leadership Institute
23 (21733) ... 974,500 ................................. (re. $974,000)",28,22,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21733|2023|974500
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,23319,2023,475000,475000,"24 For services and expenses of the Magellan Foundation, Inc. (23319)
25 ... 475,000 ......................................... (re. $475,000)",28,24,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23319|2023|475000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,23449,2023,1868000,281000,"11 For payment of small government assistance to school districts pursu-
12 ant to subdivision 7 of section 3641 of the education law on or
13 before March 31, 2024 upon audit and warrant of the comptroller in
14 the amount that small government assistance was paid to school
15 districts in state fiscal year 2010-11 (23449) .....................
16 1,868,000 ........................................... (re. $281,000)",29,11,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23449|2023|1868000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,23348,2023,250000,250000,"24 For services and expenses of the Fund for the City of New York - Prom-
25 ise Project (23348) ... 250,000 ..................... (re. $250,000)",29,24,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23348|2023|250000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,56150,2023,450000,450000,"26 For services and expenses of United Community Schools, Incorporated
27 (56150) ... 450,000 ................................. (re. $450,000)",29,26,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|56150|2023|450000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,23349,2023,365000,365000,"28 For services and expenses of the Mind Builders Creative Arts Center
29 (23349) ... 365,000 ................................. (re. $365,000)",29,28,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23349|2023|365000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,23351,2023,400000,400000,"30 For services and expenses of the BioBus, Inc. (23351) ................
31 400,000 ............................................. (re. $400,000)",29,30,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23351|2023|400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,23320,2023,40000,40000,"32 For services and expenses of the Long Island Latino Teachers Associ-
33 ation (23320) ... 40,000 ............................. (re. $40,000)",29,32,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23320|2023|40000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,23356,2023,650000,650000,"34 For services and expenses of NYC Kids RISE, Inc (23356) ..............
35 650,000 ............................................. (re. $650,000)",29,34,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23356|2023|650000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,23386,2023,250000,250000,"36 For services and expenses of the Universal Hip Hop Museum (23386) ...
37 250,000 ............................................. (re. $250,000)",29,36,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23386|2023|250000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,56138,2023,340000000,340000000,"1 The appropriation made by chapter 53, section 1, of the laws of 2023, is
2 hereby amended and reappropriated to read:
3 For continuation of a statewide universal full-day prekindergarten
4 program in accordance with section 3602-ee of the education law to
5 reimburse school districts and/or eligible entities for the cost of
6 awarded programs operating in the 2023-24 school year and prior
7 school years; provided that up to 25 percent of a school district's
8 and/or eligible entity's awarded funds shall be made available in
9 the final quarter of the year in which services are provided as an
10 advance on subsequent school year liabilities; provided further that
11 funds appropriated herein shall only be awarded to school districts
12 and/or eligible entities which meet requirements provided for in
13 section 3602-ee of the education law.
14 Provided further that funds appropriated herein shall only be used to
15 supplement and not supplant current local expenditures of federal,
16 state or local funds on prekindergarten programs and the number of
17 placements in such programs from such sources and that current local
18 expenditures shall include any local expenditures of federal, state
19 or local funds used to supplement or extend services provided
20 directly or via contract to eligible children enrolled in a
21 universal prekindergarten program in accordance with section 3602-e
22 of the education law. Notwithstanding any provision of law to the
23 contrary, the funds appropriated herein shall only be available for
24 a statewide universal full-day prekindergarten program and, as of
25 July 1, [2024] _2_0_2_5, may be suballocated or transferred to any other
26 appropriation for the sole purpose of administering such program.
27 Notwithstanding any provision of law to the contrary, programs that
28 provide services for fewer than 180 days will be subject to the
29 provisions of subdivision 16 of section 3602-e of the education law
30 (56138) ... 340,000,000 ......................... (re. $340,000,000)",31,1,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|56138|2023|340000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,55949,2022,225000,225000,"31 By chapter 53, section 1, of the laws of 2022:
32 For services and expenses of the East Ramapo Central School District
33 (55949) ... 225,000 ................................. (re. $225,000)",31,31,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55949|2022|225000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,55907,2022,185000000,17469000,"26 For reimbursement of supplemental basic tuition payments to charter
27 schools made by school districts in the 2021-22 school year, as
28 defined by paragraph (a) of subdivision 1 of section 2856 of the
29 education law (55907) ... 185,000,000 ............ (re. $17,469,000)",32,26,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55907|2022|185000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,55971,2022,100000000,6611000,"30 For charter schools facilities aid for the 2021-22 school year and
31 prior school years pursuant to subdivision 6-g of section 3602 of
32 the education law (55971) ... 100,000,000 ......... (re. $6,611,000)",32,30,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55971|2022|100000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21702,2022,34400000,981000,"16 For the school lunch and breakfast program.
17 Funds for the school lunch and breakfast program shall be expended
18 subject to the limitation of funds available and may be used to
19 reimburse sponsors of non-profit school lunch, breakfast, or other
20 school child feeding programs based upon the number of federally
21 reimbursable breakfasts and lunches served to students under such
22 program agreements entered into by the state education department
23 and such sponsors, in accordance with an act of Congress entitled
24 the ""National School Lunch Act,"" P.L. 79-396, as amended, or the
25 provisions of the ""Child Nutrition Act of 1966,"" P.L. 89-642, as
26 amended, in the case of school breakfast programs to reimburse spon-
27 sors in excess of the federal rates of reimbursement. Notwithstand-
28 ing any provision of law to the contrary, the moneys hereby appro-
29 priated, or so much thereof as may be necessary, are to be available
30 for the purposes herein specified for obligations heretofore accrued
31 or hereafter to accrue for the school years beginning July 1, 2020,
32 July 1, 2021 and July 1, 2022.
33 Notwithstanding any law, rule or regulation to the contrary, the
34 amount appropriated herein represents the maximum amount payable
35 during the 2022-23 state fiscal year for state reimbursement for
36 school lunch and breakfast programs (21702) ........................
37 34,400,000 .......................................... (re. $981,000)",37,16,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21702|2022|34400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,21769,2022,115652000,99000,"4 For nonpublic school aid payable in the 2022-23 school year to reim-
5 burse 2021-22 school year expenses. Provided that nonpublic schools
6 shall continue to receive aid based on either a 5.0/5.5 hour stand-
7 ard instructional day, or another work day as certified by the
8 nonpublic school officials, in accordance with the methodology for
9 computing salary and benefits applied by the department in paying
10 aid for the 2012-13 and prior school years. Notwithstanding any
11 provision of law, rule or regulation to the contrary, each nonpublic
12 school which seeks aid payable in the 2022-23 school year shall
13 submit a claim for such aid to the state education department no
14 later than April 1, 2023, and such claims shall be paid by the
15 Department no later than May 31, 2023. Provided further that funds
16 appropriated herein shall be made available on or after April 1,
17 2023 (21769) ... 115,652,000 ......................... (re. $99,000)",38,4,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21769|2022|115652000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Federal Department of Education Account - 25210,55964,2022,3000000,3000000,"23 For additional services and expenses related to nonpublic school STEM
24 programs (55964) ... 3,000,000 .................... (re. $3,000,000)",38,23,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55964|2022|3000000
