agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21851,2022,5400000,3832000,reappropriation,7,16,2024-25,"19 5,400,000 ......................................... (re. $3,832,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21851|2022|5400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21851,2021,5400000,392000,reappropriation,7,20,2024-25,"23 5,400,000 ........................................... (re. $392,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21851|2021|5400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21851,2020,5400000,1514000,reappropriation,7,24,2024-25,"27 5,400,000 ......................................... (re. $1,514,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21851|2020|5400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21851,2019,5400000,247000,reappropriation,7,28,2024-25,"31 5,400,000 ........................................... (re. $247,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21851|2019|5400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21849,2023,8346000,8346000,reappropriation,7,35,2024-25,"38 affairs law (21849) ... 8,346,000 ................. (re. $8,346,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21849|2023|8346000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Operating Grants Account - 25456,21850,2023,461000,442000,reappropriation,7,39,2024-25,"42 to such programs (21850) ... 461,000 ................ (re. $442,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21850|2023|461000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21849,2022,8346000,3389000,reappropriation,8,1,2024-25,"4 affairs law (21849) ... 8,346,000 ................. (re. $3,389,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21849|2022|8346000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21850,2022,461000,393000,reappropriation,8,5,2024-25,"8 to such programs (21850) ... 461,000 ................ (re. $393,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21850|2022|461000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21849,2021,8346000,3611000,reappropriation,8,9,2024-25,"12 affairs law (21849) ... 8,346,000 ................. (re. $3,611,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21849|2021|8346000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21850,2021,461000,372000,reappropriation,8,13,2024-25,"16 to such programs (21850) ... 461,000 ................ (re. $372,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21850|2021|461000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21849,2020,8346000,8346000,reappropriation,8,17,2024-25,"20 affairs law (21849) ... 8,346,000 ................. (re. $8,346,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21849|2020|8346000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21850,2020,461000,388000,reappropriation,8,21,2024-25,"24 to such programs (21850) ... 461,000 ................ (re. $388,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21850|2020|461000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21849,2019,8346000,5255000,reappropriation,8,25,2024-25,"28 affairs law (21849) ... 8,346,000 ................. (re. $5,255,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21849|2019|8346000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21850,2019,461000,9000,reappropriation,8,29,2024-25,"32 to such programs (21850) ... 461,000 .................. (re. $9,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21850|2019|461000
