agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,SRF Capitalization Grants Account - 31359,24807,2022,18000000,5908000,"28 For services and expenses related to the acquisition and development
29 of technology, including but not limited to equipment, software, and
30 services. Funds appropriated herein may be suballocated to any other
31 state department to achieve the purpose of this appropriation
32 (09CS2250) (24807) ... 18,000,000 ................. (re. $5,908,000)",189,28.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24807|2022|18000000
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,capital projects fund,SRF Capitalization Grants Account - 31359,25729,2021,24700000,9407000,"33 By chapter 54, section 1, of the laws of 2021:
34 For employee fringe benefits and indirect costs related to employees
35 paid from department capital projects funds and capital accounts
36 (09FG2150) (25729) ... 24,700,000 ................. (re. $9,407,000)",189,33.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|25729|2021|24700000
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,SRF Capitalization Grants Account - 31359,62014,2024,0,63514000,"1 The appropriation made by chapter 54, section 1, of the laws of 2024, is
2 hereby amended and reappropriated to read:
3 For the expenditure of federal funds including but not limited to
4 those funds provided for in the Infrastructure Investment and Jobs
5 Act made available to the department of environmental conservation,
6 from any federal agency under any federal programs, for environ-
7 mental purposes including but not limited to construction, recon-
8 struction, preservation, and operating costs. Any portion of this
9 appropriation may be transferred to state operations and aid to
10 localities. Notwithstanding any other inconsistent provisions of
11 law, funding appropriated herein is authorized for suballocation or
12 transfer to other state departments, agencies, and authorities, and
13 may be transferred or interchanged within the department of environ-
14 mental conservation, as necessary to accomplish the intended purpose
15 of the federal funds (09IJ2450) (62014) ............................
16 [70,000,000] _6_3_,_5_1_4_,_0_0_0 .......................... (re. $63,514,000)",191,1.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|62014|2024|0
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,SRF Capitalization Grants Account - 31359,62014,2023,0,61800000,"17 The appropriation made by chapter 54, section 1, of the laws of 2023, is
18 hereby amended and reappropriated to read:
19 For the expenditure of federal funds including but not limited to
20 those funds provided for in the Infrastructure Investment and Jobs
21 Act made available to the department of environmental conservation,
22 from any federal agency under any federal programs, for environ-
23 mental purposes including but not limited to construction, recon-
24 struction, preservation, and operating costs. Any portion of this
25 appropriation may be transferred to state operations and aid to
26 localities. Notwithstanding any other inconsistent provisions of
27 law, funding appropriated herein is authorized for suballocation or
28 transfer to other state departments, agencies, and authorities, and
29 may be transferred or interchanged within the department of environ-
30 mental conservation, as necessary to accomplish the intended purpose
31 of the federal funds (09IJ2350) (62014) ............................
32 [70,000,000] _6_7_,_0_5_8_,_0_0_0 .......................... (re. $61,800,000)",191,17.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|62014|2023|0
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,SRF Capitalization Grants Account - 31359,62014,2022,0,4187000,"33 The appropriation made by chapter 54, section 1, of the laws of 2022, is
34 hereby amended and reappropriated to read:
35 For the expenditure of federal funds including but not limited to
36 those funds provided for in the Infrastructure Investment and Jobs
37 Act made available to the department of environmental conservation,
38 from any federal agency under any federal programs, for environ-
39 mental purposes including but not limited to construction, recon-
40 struction, preservation, and operating costs. Any portion of this
41 appropriation may be transferred to state operations and aid to
42 localities. Notwithstanding any other inconsistent provisions of
43 law, funding appropriated herein is authorized for suballocation or
44 transfer to other state departments, agencies, and authorities, and
45 may be transferred or interchanged within the department of environ-
46 mental conservation, as necessary to accomplish the intended purpose
47 of the federal funds (09IJ2250) (62014) ............................
48 [50,000,000] _4_9_,_0_4_5_,_0_0_0 ........................... (re. $4,187,000)",191,33.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|62014|2022|0
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,ENCON Capital Miscellaneous Gifts Account - 32224,24808,1999,3000000,97000,"23 By chapter 55, section 1, of the laws of 1999:
24 For services and expenses relating to the implementation and adminis-
25 tration of the clean air mobile source program (09MO9955) (24808)
26 ... 3,000,000 ........................................ (re. $97,000)",192,23.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24808|1999|3000000
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,ENCON Capital Miscellaneous Gifts Account - 32224,24809,2000,26000000,102000,"34 By chapter 55, section 1, of the laws of 2000:
35 For state assistance payments for the state share of the costs of air
36 quality/green growth projects in accordance with the provisions of
37 title 6 of article 56 of the environmental conservation law for
38 project costs, including costs incidental and appurtenant thereto
39 and for payment of reimbursements to the clean water/clean air
40 implementation fund for services and expenses of state departments
41 and agencies, including fringe benefits, hereinafter referred to as
42 ""Air Quality Project Disbursements"". The moneys appropriated herein
43 may be suballocated to any state department or agency. Further,
44 moneys herein appropriated may be suballocated only to public
45 authorities and public benefit corporations specifically authorized
46 by title 6 of article 56 of the environmental conservation law to
47 enter into contracts for state assistance payments for the state
48 share of costs for air quality projects, provided however, that
49 moneys herein appropriated pursuant to subdivision 1 of section
50 56-0603 of the environmental conservation law for state clean-fueled
AB
194 12554-09-5
DEPARTMENT OF ENVIRONMENTAL CONSERVATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 vehicles projects may be suballocated to any public authority or
2 public benefit corporation and moneys herein appropriated pursuant
3 to section 56-0607 of the environmental conservation law for other
4 air quality projects may be suballocated to the environmental facil-
5 ities corporation. Notwithstanding any other provision of law to the
6 contrary, the moneys hereby appropriated shall be available for
7 state air quality improvement projects in accordance with title 6 of
8 article 56 of the environmental conservation law upon the issuance
9 of a certificate of approval of availability by the director of the
10 division of the budget. The state comptroller shall at the commence-
11 ment of each month certify to the director of the division of the
12 budget, the commissioner of environmental conservation, the chairman
13 of the senate finance committee, and the chairman of the assembly
14 ways and means committee, the amounts disbursed from this appropri-
15 ation for ""Air Quality Improvement Disbursements"" for the month
16 preceding such certification (09BA0055) (24809) ....................
17 26,000,000 .......................................... (re. $102,000)",194,34.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24809|2000|26000000
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,Capital Projects Fund,ENCON Capital Miscellaneous Gifts Account - 32224,24809,1999,37000000,38000,"29 By chapter 55, section 1, of the laws of 1999:
30 For state assistance payments for the state share of the costs of air
31 quality/green growth projects in accordance with the provisions of
32 title 6 of article 56 of the environmental conservation law for
33 project costs, including costs incidental and appurtenant thereto
34 and for payment of reimbursements to the clean water/clean air
35 implementation fund for services and expenses of state departments
36 and agencies, including fringe benefits, hereinafter referred to as
37 ""Air Quality Project Disbursements"". The moneys appropriated herein
38 may be suballocated to any state department or agency. Further,
39 moneys herein appropriated may be suballocated only to public
40 authorities and public benefit corporations specifically authorized
41 by title 6 of article 56 of the environmental conservation law to
42 enter into contracts for state assistance payments for the state
43 share of costs for air quality projects, provided however, that
44 moneys herein appropriated pursuant to subdivision 1 of section
45 56-0603 of the environmental conservation law for state clean-fueled
46 vehicles projects may be suballocated to any public authority or
47 public benefit corporation and moneys herein appropriated pursuant
48 to section 56-0607 of the environmental conservation law for other
49 air quality projects may be suballocated to the environmental facil-
50 ities corporation. Notwithstanding any other provision of law to the
AB
195 12554-09-5
DEPARTMENT OF ENVIRONMENTAL CONSERVATION
CAPITAL PROJECTS - REAPPROPRIATIONS 2025-26
1 contrary, the moneys hereby appropriated shall be available for
2 state air quality improvement projects in accordance with title 6 of
3 article 56 of the environmental conservation law upon the issuance
4 of a certificate of approval of availability by the director of the
5 division of the budget. The state comptroller shall at the commence-
6 ment of each month certify to the director of the division of the
7 budget, the commissioner of environmental conservation, the chairman
8 of the senate finance committee, and the chairman of the assembly
9 ways and means committee, the amounts disbursed from this appropri-
10 ation for ""Air Quality Improvement Disbursements"" for the month
11 preceding such certification (09BA9955) (24809) ....................
12 37,000,000 ........................................... (re. $38,000)",195,29.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|24809|1999|37000000
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,capital projects fund,Clean Air Implementation-DEC Account - 30501,81044,2008,1050000,1050000,"27 By chapter 55, section 1, of the laws of 2008:
28 For services and expenses including personal services and fringe bene-
29 fits necessary to implement the clean water/clean air bond act
30 (09BA08WI) (81044) ... 1,050,000 .................. (re. $1,050,000)",198,27.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|81044|2008|1050000
DEPARTMENT OF ENVIRONMENTAL CONSERVATION,CAPITAL PROJECTS,capital projects fund,Clean Air Implementation-DEC Account - 30501,81044,2006,1050000,348000,"31 By chapter 55, section 1, of the laws of 2006:
32 For services and expenses including personal services and fringe bene-
33 fits necessary to implement the clean water/clean air bond act
34 (09BA06WI) (81044) ... 1,050,000 .................... (re. $348,000)",198,31.0,2025-26,CAP 25-26.pdf,DEPARTMENT OF ENVIRONMENTAL CONSERVATION|81044|2006|1050000
