agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55928,2025,28000000,0,appropriation,23,59.0,2025-26,"(55928) ..................................... 28,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|55928|2025|28000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21763,2025,1303000,0,appropriation,24,9.0,2025-26,"the director of the budget (21763) ........... 1,303,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21763|2025|1303000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55985,2025,6418000,0,appropriation,24,13.0,2025-26,"the 2024-25 school year (55985) .............. 6,418,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|55985|2025|6418000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21764,2025,89000,0,appropriation,24,23.0,2025-26,"for the 2025-26 school year (21764) ............. 89,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21764|2025|89000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55986,2025,10000000,0,appropriation,25,20.0,2025-26,"1, 2026 (55986) ............................. 10,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|55986|2025|10000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21769,2025,136762000,0,appropriation,25,44.0,2025-26,"April 1, 2026 (21769) ...................... 136,762,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21769|2025|136762000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21770,2025,91618000,0,appropriation,25,60.0,2025-26,"April 1, 2026 (21770) ....................... 91,618,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21770|2025|91618000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21771,2025,922000,0,appropriation,26,2.0,2025-26,"by the director of the budget (21771) .......... 922,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21771|2025|922000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,55964,2025,85500000,0,appropriation,26,4.0,2025-26,"lic school STEM programs (55964) ............ 85,500,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|55964|2025|85500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,57017,2025,5000000,0,appropriation,26,8.0,2025-26,"the budget (57017) ........................... 5,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|57017|2025|5000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21705,2025,93700000,0,appropriation,26,54.0,2025-26,"credits (21705) ............................. 93,700,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21705|2025|93700000
