agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23344,2024,2000000,0,appropriation,7,4,2024-25,"universities (23344) ......................... 2,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23344|2024|2000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23394,2024,2000000,0,appropriation,7,9,2024-25,"(23394) ...................................... 2,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23394|2024|2000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23379,2024,350000,0,appropriation,7,11,2024-25,"College Access (LUCA)(23379) ................... 350,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23379|2024|350000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23380,2024,750000,0,appropriation,7,17,2024-25,"(23380) ........................................ 750,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23380|2024|750000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23382,2024,200000,0,appropriation,7,19,2024-25,"College, Inc (23382) ........................... 200,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23382|2024|200000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23419,2024,5000000,0,appropriation,7,40,2024-25,"intent of this appropriation (23419) ......... 5,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23419|2024|5000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21744,2024,5214000,0,appropriation,8,17,2024-25,"intent of this appropriation (21744) ......... 5,214,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21744|2024|5214000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21701,2024,19437926000,0,appropriation,11,4,2024-25,"accrue (21701) .......................... 19,437,926,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21701|2024|19437926000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21882,2024,10058338000,0,appropriation,11,31,2024-25,"accrue (21882) .......................... 10,058,338,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21882|2024|10058338000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21746,2024,22033000,0,appropriation,12,23,2024-25,"accrue (21746) .............................. 22,033,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21746|2024|22033000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21747,2024,12950000,0,appropriation,13,11,2024-25,"accrue (21747) .............................. 12,950,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21747|2024|12950000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21748,2024,2300000,0,appropriation,13,48,2024-25,"accrue (21748) ............................... 2,300,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21748|2024|2300000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21749,2024,5827000,0,appropriation,14,25,2024-25,"accrue (21749) ............................... 5,827,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21749|2024|5827000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21750,2024,3500000,0,appropriation,15,4,2024-25,"accrue (21750) ............................... 3,500,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21750|2024|3500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21751,2024,4025000,0,appropriation,15,33,2024-25,"accrue (21751) ............................... 4,025,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21751|2024|4025000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21752,2024,34125000,0,appropriation,16,12,2024-25,"accrue (21752) .............................. 34,125,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21752|2024|34125000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21753,2024,1890000,0,appropriation,16,44,2024-25,"accrue (21753) ............................... 1,890,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21753|2024|1890000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21754,2024,280000,0,appropriation,17,29,2024-25,"accrue (21754) ................................. 280,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21754|2024|280000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23485,2024,1400000,0,appropriation,18,4,2024-25,"accrue (23485) ............................... 1,400,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23485|2024|1400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21755,2024,8400000,0,appropriation,18,38,2024-25,"accrue (21755) ............................... 8,400,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21755|2024|8400000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21756,2024,50551000,0,appropriation,19,17,2024-25,"accrue (21756) .............................. 50,551,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21756|2024|50551000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21757,2024,9688000,0,appropriation,20,5,2024-25,"accrue (21757) ............................... 9,688,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21757|2024|9688000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55905,2024,1200000,0,appropriation,20,8,2024-25,"the 2024-25 school year (55905) .............. 1,200,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55905|2024|1200000
