agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23415,2024,1551000,1551000,reappropriation,172,30.0,2025-26,"44 Personal service (50000) ... 1,551,000 .............. (re. $1,551,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23415|2024|1551000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23414,2024,8015000,7078000,reappropriation,173,48.0,2025-26,"12 Personal service (50000) ... 8,015,000 .............. (re. $7,078,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23414|2024|8015000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23413,2024,408000,342000,reappropriation,173,16.0,2025-26,"23 Personal service (50000) ... 408,000 .................. (re. $342,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23413|2024|408000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23477,2024,5094000,4574000,reappropriation,173,27.0,2025-26,"34 Personal service (50000) ... 5,094,000 .............. (re. $4,574,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23477|2024|5094000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21809,2024,3000000,3000000,reappropriation,173,38.0,2025-26,"43 Personal service (50000) ... 3,000,000 .............. (re. $3,000,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21809|2024|3000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21737,2024,22202000,14847000,reappropriation,174,47.0,2025-26,"1 Personal service (50000) ... 22,202,000 ............ (re. $14,847,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21737|2024|22202000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23443,2023,21709000,13061000,reappropriation,174,5.0,2025-26,"20 Personal service (50000) ... 21,709,000 ............ (re. $13,061,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23443|2023|21709000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23418,2023,5325000,2484000,reappropriation,174,24.0,2025-26,"46 Personal service (50000) ... 5,325,000 .............. (re. $2,484,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23418|2023|5325000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23417,2023,3027000,1719000,reappropriation,175,50.0,2025-26,"13 Personal service (50000) ... 3,027,000 .............. (re. $1,719,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23417|2023|3027000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23416,2023,5619000,5388000,reappropriation,175,17.0,2025-26,"32 Personal service (50000) ... 5,619,000 .............. (re. $5,388,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23416|2023|5619000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23415,2023,1517000,1517000,reappropriation,175,36.0,2025-26,"50 Personal service (50000) ... 1,517,000 .............. (re. $1,517,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23415|2023|1517000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23414,2023,7024000,4307000,reappropriation,176,2.0,2025-26,"18 Personal service (50000) ... 7,024,000 .............. (re. $4,307,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23414|2023|7024000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23413,2023,400000,3000,reappropriation,176,22.0,2025-26,"29 Personal service (50000) ... 400,000 .................... (re. $3,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23413|2023|400000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23477,2023,5017000,3936000,reappropriation,176,32.0,2025-26,"39 Personal service (50000) ... 5,017,000 .............. (re. $3,936,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23477|2023|5017000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21809,2023,3000000,3000000,reappropriation,176,43.0,2025-26,"48 Personal service (50000) ... 3,000,000 .............. (re. $3,000,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21809|2023|3000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21737,2023,20698000,3285000,reappropriation,177,1.0,2025-26,"7 Personal service (50000) ... 20,698,000 ............. (re. $3,285,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21737|2023|20698000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23443,2022,21610000,10092000,reappropriation,177,11.0,2025-26,"26 Personal service (50000) ... 21,610,000 ............ (re. $10,092,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23443|2022|21610000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23418,2022,5300000,3896000,reappropriation,178,30.0,2025-26,"1 Personal service (50000) ... 5,300,000 .............. (re. $3,896,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23418|2022|5300000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23417,2022,3000000,2104000,reappropriation,178,5.0,2025-26,"19 Personal service (50000) ... 3,000,000 .............. (re. $2,104,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23417|2022|3000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23416,2022,3601000,2227000,reappropriation,178,23.0,2025-26,"38 Personal service (50000) ... 3,601,000 .............. (re. $2,227,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23416|2022|3601000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23415,2022,1500000,1500000,reappropriation,179,42.0,2025-26,"5 Personal service (50000) ... 1,500,000 .............. (re. $1,500,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23415|2022|1500000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23414,2022,7000000,3822000,reappropriation,179,9.0,2025-26,"25 Personal service (50000) ... 7,000,000 .............. (re. $3,822,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23414|2022|7000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23413,2022,400000,38000,reappropriation,179,29.0,2025-26,"36 Personal service (50000) ... 400,000 ................... (re. $38,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23413|2022|400000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23477,2022,5000000,3245000,reappropriation,179,40.0,2025-26,"47 Personal service (50000) ... 5,000,000 .............. (re. $3,245,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23477|2022|5000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21809,2022,3000000,3000000,reappropriation,180,51.0,2025-26,"4 Personal service (50000) ... 3,000,000 .............. (re. $3,000,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21809|2022|3000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21737,2022,20502000,1000,reappropriation,180,8.0,2025-26,"14 Personal service (50000) ... 20,502,000 ................. (re. $1,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21737|2022|20502000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23443,2021,21610000,6990000,reappropriation,180,18.0,2025-26,"33 Personal service (50000) ... 21,610,000 ............. (re. $6,990,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23443|2021|21610000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23418,2021,5300000,2849000,reappropriation,181,37.0,2025-26,"8 Personal service (50000) ... 5,300,000 .............. (re. $2,849,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23418|2021|5300000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23417,2021,3000000,1747000,reappropriation,181,12.0,2025-26,"26 Personal service (50000) ... 3,000,000 .............. (re. $1,747,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23417|2021|3000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23416,2021,3601000,3202000,reappropriation,181,30.0,2025-26,"45 Personal service (50000) ... 3,601,000 .............. (re. $3,202,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23416|2021|3601000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23415,2021,1500000,437000,reappropriation,182,49.0,2025-26,"11 Personal service (50000) ... 1,500,000 ................ (re. $437,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23415|2021|1500000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23414,2021,7000000,4791000,reappropriation,182,15.0,2025-26,"31 Personal service (50000) ... 7,000,000 .............. (re. $4,791,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23414|2021|7000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23413,2021,400000,113000,reappropriation,182,35.0,2025-26,"42 Personal service (50000) ... 400,000 .................. (re. $113,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23413|2021|400000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23477,2021,5000000,3988000,reappropriation,182,45.0,2025-26,"52 Personal service (50000) ... 5,000,000 .............. (re. $3,988,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23477|2021|5000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21809,2021,3000000,3000000,reappropriation,183,4.0,2025-26,"9 Personal service (50000) ... 3,000,000 .............. (re. $3,000,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21809|2021|3000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21737,2021,20502000,13000,reappropriation,183,13.0,2025-26,"19 Personal service (50000) ... 20,502,000 ................ (re. $13,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21737|2021|20502000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23443,2020,21610000,1252000,reappropriation,183,22.0,2025-26,"37 Personal service (50000) ... 21,610,000 ............. (re. $1,252,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23443|2020|21610000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23416,2020,3601000,599000,reappropriation,184,41.0,2025-26,"5 Personal service (50000) ... 3,601,000 ................ (re. $599,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23416|2020|3601000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23415,2020,1500000,230000,reappropriation,184,9.0,2025-26,"23 Personal service (50000) ... 1,500,000 ................ (re. $230,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23415|2020|1500000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23414,2020,7000000,5119000,reappropriation,184,27.0,2025-26,"43 Personal service (50000) ... 7,000,000 .............. (re. $5,119,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23414|2020|7000000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21737,2020,20502000,414000,reappropriation,185,47.0,2025-26,"1 Personal service (50000) ... 20,502,000 ............... (re. $414,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21737|2020|20502000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23443,2019,21610000,8805000,reappropriation,185,5.0,2025-26,"20 Personal service (50000) ... 21,610,000 ............. (re. $8,805,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23443|2019|21610000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23415,2019,1500000,100000,reappropriation,185,24.0,2025-26,"38 Personal service (50000) ... 1,500,000 ................ (re. $100,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23415|2019|1500000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,21737,2019,20502000,2000,reappropriation,185,42.0,2025-26,"48 Personal service (50000) ... 20,502,000 ................. (re. $2,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21737|2019|20502000|FEDERAL DEPARTMENT OF EDUCATION ACCOUNT - 25210
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25122,23443,2018,21610000,10450000,reappropriation,186,1.0,2025-26,"16 Personal service (50000) ... 21,610,000 ............ (re. $10,450,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|23443|2018|21610000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25122
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25122,21742,2024,508000,508000,reappropriation,186,23.0,2025-26,"30 Personal service (50000) ... 508,000 .................. (re. $508,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21742|2024|508000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25122
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25122,21742,2023,500000,500000,reappropriation,186,34.0,2025-26,"41 Personal service (50000) ... 500,000 .................. (re. $500,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21742|2023|500000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25122
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25122,21742,2022,500000,500000,reappropriation,187,45.0,2025-26,"4 Personal service (50000) ... 500,000 .................. (re. $500,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21742|2022|500000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25122
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25122,21742,2021,500000,454000,reappropriation,187,8.0,2025-26,"15 Personal service (50000) ... 500,000 .................. (re. $454,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21742|2021|500000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25122
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25122,21742,2020,500000,146000,reappropriation,187,19.0,2025-26,"26 Personal service (50000) ... 500,000 .................. (re. $146,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21742|2020|500000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25122
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25122,21742,2019,500000,189000,reappropriation,187,30.0,2025-26,"37 Personal service (50000) ... 500,000 .................. (re. $189,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21742|2019|500000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25122
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal Health and Human Services Account - 25122,21742,2018,500000,296000,reappropriation,187,41.0,2025-26,"48 Personal service (50000) ... 500,000 .................. (re. $296,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21742|2018|500000|FEDERAL HEALTH AND HUMAN SERVICES ACCOUNT - 25122
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal USDA-Food and Nutrition Services Account - 25026,21703,2024,8853000,8853000,reappropriation,188,6.0,2025-26,"13 Personal service (50000) ... 8,853,000 .............. (re. $8,853,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21703|2024|8853000|FEDERAL USDA-FOOD AND NUTRITION SERVICES ACCOUNT - 25026
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal USDA-Food and Nutrition Services Account - 25026,21703,2023,6819400,1863000,reappropriation,188,17.0,2025-26,"24 Personal service (50000) ... 6,819,400 .............. (re. $1,863,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21703|2023|6819400|FEDERAL USDA-FOOD AND NUTRITION SERVICES ACCOUNT - 25026
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal USDA-Food and Nutrition Services Account - 25026,21703,2022,6461000,1860000,reappropriation,188,28.0,2025-26,"35 Personal service (50000) ... 6,461,000 .............. (re. $1,860,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21703|2022|6461000|FEDERAL USDA-FOOD AND NUTRITION SERVICES ACCOUNT - 25026
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Federal,Federal USDA-Food and Nutrition Services Account - 25026,21703,2021,6153000,1581000,reappropriation,188,39.0,2025-26,"46 Personal service (50000) ... 6,153,000 .............. (re. $1,581,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21703|2021|6153000|FEDERAL USDA-FOOD AND NUTRITION SERVICES ACCOUNT - 25026
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Other,Contracts Account - 22153,21703,2020,5974000,1041000,reappropriation,189,3.0,2025-26,"10 Personal service (50000) ... 5,974,000 .............. (re. $1,041,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21703|2020|5974000|CONTRACTS ACCOUNT - 22153
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Other,Contracts Account - 22153,21700,2024,150000,150000,reappropriation,189,18.0,2025-26,"21 Contractual services (51000) ... 150,000 .............. (re. $150,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21700|2024|150000|CONTRACTS ACCOUNT - 22153
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Other,Contracts Account - 22153,21700,2023,150000,150000,reappropriation,189,22.0,2025-26,"25 Contractual services (51000) ... 150,000 .............. (re. $150,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21700|2023|150000|CONTRACTS ACCOUNT - 22153
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Other,Contracts Account - 22153,21828,2024,815000,682000,reappropriation,189,30.0,2025-26,"33 Contractual services (51000) ... 815,000 .............. (re. $682,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21828|2024|815000|CONTRACTS ACCOUNT - 22153
EDUCATION DEPARTMENT,STATE OPERATIONS,Special Revenue Funds - Other,Contracts Account - 22153,21829,2024,583000,297000,reappropriation,189,38.0,2025-26,"41 Contractual services (51000) ... 583,000 .............. (re. $297,000)",STOPS 25-26.pdf,False,,EDUCATION DEPARTMENT|21829|2024|583000|CONTRACTS ACCOUNT - 22153
STATE BOARD OF ELECTIONS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,23520,2018,5000000,1500000,reappropriation,194,4.0,2025-26,"28 Contractual Services (51000) ... 5,000,000 .......... (re. $1,500,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23520|2018|5000000|STATE PURPOSES ACCOUNT - 10050
STATE BOARD OF ELECTIONS,STATE OPERATIONS,Special Revenue Funds - Federal,Help America Vote Act Implementation Account - 25497,23504,2023,7000000,7000000,reappropriation,195,41.0,2025-26,"5 Nonpersonal service (57050) ... 7,000,000 ........... (re. $7,000,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23504|2023|7000000|HELP AMERICA VOTE ACT IMPLEMENTATION ACCOUNT - 25497
STATE BOARD OF ELECTIONS,STATE OPERATIONS,Special Revenue Funds - Federal,Help America Vote Act Implementation Account - 25497,23504,2020,21839000,8578000,reappropriation,195,6.0,2025-26,"16 Nonpersonal service (57050) ... 21,839,000 .......... (re. $8,578,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23504|2020|21839000|HELP AMERICA VOTE ACT IMPLEMENTATION ACCOUNT - 25497
STATE BOARD OF ELECTIONS,STATE OPERATIONS,Special Revenue Funds - Federal,Help America Vote Act Implementation Account - 25497,23504,2018,23000000,1417000,reappropriation,195,17.0,2025-26,"27 23,000,000 ........................................ (re. $1,417,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23504|2018|23000000|HELP AMERICA VOTE ACT IMPLEMENTATION ACCOUNT - 25497
STATE BOARD OF ELECTIONS,STATE OPERATIONS,Special Revenue Funds - Federal,Help America Vote Act Implementation Account - 25497,23508,2011,6500000,2887000,reappropriation,195,31.0,2025-26,"35 Nonpersonal service (57050) ... 6,500,000 ........... (re. $2,887,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23508|2011|6500000|HELP AMERICA VOTE ACT IMPLEMENTATION ACCOUNT - 25497
STATE BOARD OF ELECTIONS,STATE OPERATIONS,Special Revenue Funds - Federal,Help America Vote Act Implementation Account - 25497,23508,2010,6500000,285000,reappropriation,195,36.0,2025-26,"39 6,500,000 ........................................... (re. $285,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23508|2010|6500000|HELP AMERICA VOTE ACT IMPLEMENTATION ACCOUNT - 25497
STATE BOARD OF ELECTIONS,STATE OPERATIONS,Special Revenue Funds - Federal,Help America Vote Act Implementation Account - 25497,23511,2009,6000000,537000,reappropriation,195,40.0,2025-26,"43 6,000,000 ........................................... (re. $537,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23511|2009|6000000|HELP AMERICA VOTE ACT IMPLEMENTATION ACCOUNT - 25497
STATE BOARD OF ELECTIONS,STATE OPERATIONS,special revenue funds - federal,Help America Vote Act Implementation Account - 25496,23508,2005,5000000,397000,reappropriation,196,2.0,2025-26,"23 5,000,000 ........................................... (re. $397,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23508|2005|5000000|HELP AMERICA VOTE ACT IMPLEMENTATION ACCOUNT - 25496
STATE BOARD OF ELECTIONS,STATE OPERATIONS,special revenue funds - federal,Help America Vote Act Implementation Account - 25496,23508,2005,15000000,396000,reappropriation,196,24.0,2025-26,"25 ... 15,000,000 ...................................... (re. $396,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23508|2005|15000000|HELP AMERICA VOTE ACT IMPLEMENTATION ACCOUNT - 25496
STATE BOARD OF ELECTIONS,STATE OPERATIONS,special revenue funds - federal,Help America Vote Act Implementation Account - 25496,23504,2018,1000000,775000,reappropriation,196,29.0,2025-26,"39 Contractual services (51000) ... 1,000,000 ............ (re. $775,000)",STOPS 25-26.pdf,False,,STATE BOARD OF ELECTIONS|23504|2018|1000000|HELP AMERICA VOTE ACT IMPLEMENTATION ACCOUNT - 25496
