agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23397,2023,100000,100000,"30 For services and expenses of the Center for Jewish History, Inc
31 _(_2_3_3_9_7_) ... 100,000 ................................. (re. $100,000)",357,30.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23397|2023|100000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,57000,2023,150000,150000,"32 For services and expenses of the Dia Art Foundation _(_5_7_0_0_0_) ..........
33 150,000 ............................................. (re. $150,000)",357,32.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|57000|2023|150000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,57001,2023,150000,150000,"34 For services and expenses of Education Through Music, Inc _(_5_7_0_0_1_) ....
35 150,000 ............................................. (re. $150,000)",357,34.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|57001|2023|150000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,57003,2023,50000,50000,"36 For services and expenses of the Storm King Arts Center _(_5_7_0_0_3_) ......
37 50,000 ............................................... (re. $50,000)",357,36.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|57003|2023|50000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23330,2023,500000,500000,"38 For services and expenses of the Center for Educational Innovation
39 _(_2_3_3_3_0_) ... 500,000 ................................. (re. $500,000)",357,38.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23330|2023|500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,57005,2023,240000,240000,"40 For services and expenses of Future Giants for the advancing classroom
41 technology program _(_5_7_0_0_5_) ... 240,000 .............. (re. $240,000)",357,40.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|57005|2023|240000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,57006,2023,150000,150000,"42 For services and expenses of the Flushing Town Hall _(_5_7_0_0_6_) ..........
43 150,000 ............................................. (re. $150,000)",357,42.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|57006|2023|150000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,57007,2023,150000,150000,"44 For services and expenses of BRIC Arts Media BKLYN, Inc _(_5_7_0_0_7_) ......
45 150,000 ............................................. (re. $150,000)",357,44.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|57007|2023|150000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23483,2023,7500000,3788000,"46 For additional grants in aid to certain school districts, public
47 libraries, public colleges and universities, and education and arts
48 not-for-profit institutions. Notwithstanding any provision of law to
49 the contrary, the amounts appropriated herein may be suballocated or
50 transferred between other agencies, including the state education
51 department, city university of New York, state university of New
52 York, and New York state council on the arts with the approval of
AB
358 12553-09-5
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 the temporary president of the senate and the director of the budg-
2 et. Notwithstanding section 24 of the state finance law or any
3 provision of law to the contrary, funds from this appropriation
4 shall be allocated only pursuant to a plan (i) approved by the
5 temporary president of the senate and the director of the budget
6 which sets forth either an itemized list of grantees with the amount
7 to be received by each, or the methodology for allocating such
8 appropriation, and (ii) which is thereafter included in a senate
9 resolution calling for the expenditure of such funds, which resol-
10 ution must be approved by a majority vote of all members elected to
11 the senate upon a roll call vote _(_2_3_4_8_3_) ...........................
12 7,500,000 ......................................... (re. $3,788,000)",358,46.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23483|2023|7500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23482,2023,9800000,4384000,"13 For additional grants in aid to certain school districts, public
14 libraries, not-for-profit institutions and public colleges and
15 universities.
16 Notwithstanding any provision of law to the contrary, the amounts
17 appropriated herein may be suballocated or transferred between other
18 agencies, including the city university of New York, state universi-
19 ty of New York, and New York state council on the arts, with the
20 approval of the speaker of the assembly and the director of the
21 budget. Notwithstanding section 24 of the state finance law or any
22 provision of law to the contrary, funds from this appropriation
23 shall be allocated only pursuant to a plan (i) approved by the
24 speaker of the assembly and the director of the budget which sets
25 forth either an itemized list of grantees with the amount to be
26 received by each, or the methodology for allocating such appropri-
27 ation, and (ii) which is thereafter included in an assembly resol-
28 ution calling for the expenditure of such funds, which resolution
29 must be approved by a majority vote of all members elected to the
30 assembly upon a roll call vote _(_2_3_4_8_2_) .............................
31 9,800,000 ......................................... (re. $4,384,000)",358,13.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23482|2023|9800000
