agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,21749,2025,7997000,0,"23 Funds appropriated herein shall be available 24 for the voluntary interdistrict urban-su- 25 burban transfer program aid pursuant to 26 subdivision 15 of section 3602 of the 27 education law for the 2025-26 school year, 28 provided that notwithstanding any incon- 29 sistent provision of law, subject to the 30 approval of the director of the budget, 31 funds appropriated herein may be inter- 32 changed with any other item of appropri- 33 ation for general support for public 34 schools within the general fund local 35 assistance account office of prekindergar- 36 ten through grade twelve education 37 program. 38 Notwithstanding any other law, rule or regu- 39 lation to the contrary, funds appropriated 40 herein shall be available for payment of 41 financial assistance net of any disallow- 42 ances, refunds, reimbursement and credits, 43 and may be suballocated to other depart- 44 ments and agencies to accomplish the 45 intent of this appropriation subject to 46 the approval of the director of the budg- 47 et. Notwithstanding any provision of law 48 to the contrary, funds appropriated herein 49 shall be available for payment of liabil- 50 ities heretofore accrued or hereafter to 51 accrue (21749) ............................... 7,997,000",278,51,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21749|2025|7997000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,21752,2025,34125000,0,"8 Funds appropriated herein shall be available 9 for the 2025-26 school year for the educa- 10 tion of students who reside in a school 11 operated by the office of mental health or 12 the office for people with developmental 13 disabilities pursuant to subdivision 5 of 14 section 3202 of the education law, 15 provided that notwithstanding any incon- 16 sistent provision of law, subject to the 17 approval of the director of the budget, 18 funds appropriated herein may be inter- 19 changed with any other item of appropri- 20 ation for general support for public 21 schools within the general fund local 22 assistance account office of prekindergar- 23 ten through grade twelve education 24 program. 25 Notwithstanding any other law, rule or regu- 26 lation to the contrary, funds appropriated 27 herein shall be available for payment of 28 financial assistance net of any disallow- 29 ances, refunds, reimbursement and credits, 30 and may be suballocated to other depart- 31 ments and agencies to accomplish the 32 intent of this appropriation subject to 33 the approval of the director of the budg- 34 et. Notwithstanding any provision of law 35 to the contrary, funds appropriated herein 36 shall be available for payment of liabil- 37 ities heretofore accrued or hereafter to 38 accrue (21752) .............................. 34,125,000",280,38,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21752|2025|34125000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,21756,2025,43715000,0,"15 For the education of Native Americans in the 16 2025-26 or prior school years. Funds 17 appropriated herein shall be considered 18 general support for public schools and 19 shall be paid in accordance with a sched- 20 ule developed by the commissioner of 21 education and approved by the director of 22 the budget. Notwithstanding any provision 23 of law to the contrary, subject to the 24 approval of the director of the budget, 25 funds appropriated herein may be inter- 26 changed with any other item of appropri- 27 ation for general support for public 28 schools within the general fund local 29 assistance account office of prekindergar- 30 ten through grade twelve education 31 program. 32 Notwithstanding any other law, rule or regu- 33 lation to the contrary, funds appropriated 34 herein shall be available for payment of 35 financial assistance net of any disallow- 36 ances, refunds, reimbursement and credits, 37 and may be suballocated to other depart- 38 ments and agencies to accomplish the 39 intent of this appropriation subject to 40 the approval of the director of the budg- 41 et. Notwithstanding any provision of law 42 to the contrary, funds appropriated herein 43 shall be available for payment of liabil- 44 ities heretofore accrued or hereafter to 45 accrue (21756) .............................. 43,715,000",283,45,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21756|2025|43715000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,55905,2025,1200000,0,"34 For additional school health services grants 35 to the Buffalo City School District for 36 the 2025-26 school year (55905) .............. 1,200,000",284,36,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55905|2025|1200000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,56029,2025,1200000,0,"37 For additional school health services grants 38 to the Rochester City School District for 39 the 2025-26 school year (56029) .............. 1,200,000",284,39,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|56029|2025|1200000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,56043,2025,12000000,0,"18 For services and expenses of the Yonkers 19 City School District (56043) ................ 12,000,000",286,19,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|56043|2025|12000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,56109,2025,2000000,0,"20 For services and expenses of the Amityville 21 Union Free School District (56109) ........... 2,000,000",286,21,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|56109|2025|2000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,23328,2025,175000,0,"22 For services and expenses of the Hempstead 23 Union Free School District (23328) ............. 175,000",286,23,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23328|2025|175000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,56042,2025,175000,0,"24 For services and expenses of the Wyandanch 25 Union Free School District (56042) ............. 175,000",286,25,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|56042|2025|175000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,23329,2025,175000,0,"26 For services and expenses of the Rochester 27 City School District (23329) ................... 175,000",286,27,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23329|2025|175000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,55949,2025,225000,0,"28 For services and expenses of the East Ramapo 29 Central School District (55949) ................ 225,000",286,29,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55949|2025|225000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,55907,2025,190000000,0,"7 For reimbursement of supplemental basic 8 tuition payments to charter schools made 9 by school districts in the 2024-25 school 10 year, as defined by paragraph (a) of 11 subdivision 1 of section 2856 of the 12 education law (55907) ...................... 190,000,000",288,12,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55907|2025|190000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,55971,2025,145000000,0,"13 For charter schools facilities aid for the 14 2024-25 school year and prior school years 15 pursuant to subdivision 6-g of section 16 3602 of the education law (55971) .......... 145,000,000",288,16,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55971|2025|145000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,23384,2025,1900000,0,"37 For additional aid payable in the 2025-26 38 school year for additional nonpublic 39 school aid to reimburse 2024-25 school 40 year expenses (23384) ........................ 1,900,000",295,40,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23384|2025|1900000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Grants Account - 20191,21771,2025,500000,0,"45 For additional academic intervention for 46 nonpublic schools based on a plan to be 47 developed by the commissioner of education 48 and approved by the director of the budget 49 (21771) ........................................ 500,000",295,49,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21771|2025|500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,55965,2025,1000000,0,"296 12553-09-5 EDUCATION DEPARTMENT AID TO LOCALITIES 2025-26 1 For additional mandated services and 2 expenses of the costs of complying with 3 the State School Immunization Program 4 (SSIP) for the 2024-25 school year; 5 provided further that the department of 6 health in consultation with the state 7 education department shall create a proc- 8 ess to certify compliance with SSIP and 9 such process shall be in place July 1, 10 2025. Schools shall certify compliance 11 with such process prior to receiving the 12 funds appropriated herein (55965) ............ 1,000,000",296,12,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55965|2025|1000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,55934,2025,903000,0,"12 For costs associated with schools for the 13 blind and deaf and other students with 14 disabilities subject to article 85 of the 15 education law for the 2025-26 school year. 16 Funds appropriated herein shall be 17 distributed directly to the schools for 18 the blind and deaf and other students with 19 disabilities subject to article 85 of the 20 education law based on a three year aver- 21 age of the schools' FTE enrollment (55909) .. 19,700,000 22 For additional costs associated with schools 23 for the blind and deaf and other students 24 with disabilities subject to article 85 of 25 the education law for the 2025-26 school 26 year. Funds appropriated herein shall be 27 distributed directly to the schools for 28 the blind and deaf and other students with 29 disabilities subject to article 85 of the 30 education law based on a three year aver- 31 age of the schools' FTE enrollment (55933) 32 .............................................. 1,500,000 33 For services and expenses of the New York 34 School for the Deaf for the 2025-26 school 35 year (55934) ................................... 903,000",297,35,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55934|2025|903000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,55910,2025,1001500,0,"42 For services and expenses of the Henry 43 Viscardi School for the 2025-26 school 44 year (55910) ................................. 1,001,500",297,44,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55910|2025|1001500
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,55995,2025,500000,0,"45 For services and expenses of the Mill Neck 46 Manor School for the Deaf for the 2025-26 47 school year (55995) ............................ 500,000",297,47,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55995|2025|500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,23338,2025,500000,0,"48 For services and expenses of the Cleary 49 School for the Deaf for the 2025-26 school 50 year (23338) ................................... 500,000",297,50,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23338|2025|500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,57019,2025,300000,0,"298 12553-09-5 EDUCATION DEPARTMENT AID TO LOCALITIES 2025-26 1 School for the Deaf for the 2025-26 school 2 year (57019) ................................... 300,000",298,2,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|57019|2025|300000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,23385,2025,150000,0,"3 For services and expenses of the St. Francis 4 de Sales School for the Deaf for the 5 2025-26 school year (23385) .................... 150,000",298,5,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23385|2025|150000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,23395,2025,150000,0,"6 For services and expenses of the St. Mary's 7 School for the Deaf for the 2025-26 school 8 year (23395) ................................... 150,000",298,8,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23395|2025|150000
